,interaction_histogram,mse,interaction_spread,interaction_similarity,rec_similarity,mean_num_topics,serendipity_metric,diversity_metric,novelty_metric,timesteps,state,model,lambda
0,,0.01465411266866431,,,,,,,,0,train,cosine_sim,2
1,[3. 1. 0. ... 0. 0. 0.],0.01465411266866431,-939.5,0.0021917370725185238,0.004228485464241182,1.0,0.6237539766702015,0.9271945328148934,291.7084573747004,1,run,cosine_sim,2
2,[1. 2. 0. ... 0. 0. 0.],0.01465411266866431,-0.5,0.0025973227596172385,0.004166321793808916,2.0,0.6274655355249205,0.9290797690585604,294.86467089493823,2,run,cosine_sim,2
3,[1. 0. 0. ... 1. 0. 0.],106.50535479226765,6.5,0.0035155507624978354,0.012499509085312315,3.0,0.6068928950159067,0.92710027100271,259.2827911280977,3,run,cosine_sim,2
4,[1. 0. 0. ... 0. 0. 0.],20.154114367126397,-4.0,0.004155405826927154,0.005778611339467007,4.0,0.6018027571580064,0.93097678802875,270.2063455411935,4,run,cosine_sim,2
