,interaction_histogram,mse,interaction_spread,interaction_similarity,rec_similarity,mean_num_topics,serendipity_metric,diversity_metric,novelty_metric,timesteps,model,state
93,[6. 0. 0. ... 0. 0. 0.],2.2824275267075067,0.0,0.03066689545870251,0.0076084895920856405,93.0,0.0,0.943383999057382,112.93066092620937,93,cosine_sim,run
94,[6. 0. 0. ... 0. 0. 0.],2.32148603317321,0.0,0.03066689545870251,0.007620152049994936,94.0,0.0,0.9435136090491341,113.53282314492044,94,cosine_sim,run
95,[6. 0. 0. ... 0. 0. 0.],2.3605069983248987,0.0,0.03066689545870251,0.007645893363031592,95.0,0.0,0.9440673971957112,113.43770782785876,95,cosine_sim,run
96,[6. 0. 0. ... 0. 0. 0.],2.3993428137711006,-0.5,0.03066944144294315,0.007686546398114768,96.0,0.0,0.9440084835630965,113.83249027999715,96,cosine_sim,run
97,[6. 0. 0. ... 0. 0. 0.],2.438167926441282,0.0,0.030669730572542797,0.007716882212033361,97.0,0.0,0.9436314363143631,113.78128873843124,97,cosine_sim,run
98,[6. 0. 0. ... 0. 0. 0.],2.476421423343557,0.0,0.030669730572542797,0.0077500529842506145,98.0,0.0,0.9437846117591612,114.19975539815742,98,cosine_sim,run
99,[6. 0. 0. ... 0. 0. 0.],2.5143489699939954,0.0,0.030671188758494478,0.007760110829070883,99.0,0.0,0.9440084835630965,114.30366025734878,99,cosine_sim,run
100,[6. 0. 0. ... 0. 0. 0.],2.552152802762154,0.0,0.030671188758494478,0.007831022696875764,100.0,0.0,0.9443737480853069,114.56056772875486,100,cosine_sim,run
101,[6. 0. 0. ... 0. 0. 0.],2.5895808693778166,0.0,0.030671188758494478,0.00785571780063101,101.0,0.0,0.9444326617179216,114.62779735710468,101,cosine_sim,run
102,[6. 0. 0. ... 0. 0. 0.],2.627081566207516,0.0,0.030671188758494478,0.007879781581203695,102.0,0.0,0.94466831624838,115.05017350095332,102,cosine_sim,run
103,[6. 0. 0. ... 0. 0. 0.],2.6646049400514635,0.0,0.030671188758494478,0.007897672166097849,103.0,0.0,0.9449157535053613,115.32241322548114,103,cosine_sim,run
104,[6. 0. 0. ... 0. 0. 0.],2.702006023189365,0.0,0.030671188758494478,0.00790999998912603,104.0,0.0,0.94495110168493,115.90876215338353,104,cosine_sim,run
105,[6. 0. 0. ... 0. 0. 0.],2.739309186006506,0.0,0.030671188758494478,0.007944406522315539,105.0,0.0,0.9446329680688113,115.84979108422887,105,cosine_sim,run
106,[6. 0. 0. ... 0. 0. 0.],2.77637226181789,0.0,0.030671188758494478,0.007998910370236801,106.0,0.0,0.9443266171792153,116.06363533078118,106,cosine_sim,run
107,[6. 0. 0. ... 0. 0. 0.],2.8130566389621507,0.0,0.030672183368163155,0.008060566699765919,107.0,0.0,0.944232355367032,116.27971114396466,107,cosine_sim,run
108,[6. 0. 0. ... 0. 0. 0.],2.84976980221655,0.0,0.030672183368163155,0.00812918209081021,108.0,0.0,0.9446094026157653,116.00537921424657,108,cosine_sim,run
109,[6. 0. 0. ... 0. 0. 0.],2.8861018894107455,-0.5,0.030673638043212565,0.008188778496352092,109.0,0.0,0.9442794862731236,116.33660723321915,109,cosine_sim,run
110,[6. 0. 0. ... 0. 0. 0.],2.9219115831024047,0.0,0.030674401172572533,0.008177897455617297,110.0,0.0,0.9442205726405091,116.46034463269471,110,cosine_sim,run
111,[6. 0. 0. ... 0. 0. 0.],2.957601643970554,0.5,0.030674401172572533,0.008203352893756947,111.0,0.0,0.9443737480853069,116.73869292246877,111,cosine_sim,run
112,[6. 0. 0. ... 0. 0. 0.],2.9930254846621023,0.0,0.030675249990226347,0.00822970599454681,112.0,0.0,0.9443266171792153,116.79208385410723,112,cosine_sim,run
113,[6. 0. 0. ... 0. 0. 0.],3.02833297175397,-0.5,0.030675249990226347,0.00826358275010242,113.0,0.0,0.9442323553670321,116.8286819357299,113,cosine_sim,run
114,[6. 0. 0. ... 0. 0. 0.],3.0633675565385405,0.0,0.030675249990226347,0.00830541874247253,114.0,0.0,0.9441852244609404,116.74170331585697,114,cosine_sim,run
115,[6. 0. 0. ... 0. 0. 0.],3.098201353869586,0.5,0.030677625889794703,0.008344444534315836,115.0,0.0,0.944090962648757,117.16498405630284,115,cosine_sim,run
116,[6. 0. 0. ... 0. 0. 0.],3.1328533374253227,0.0,0.030677625889794703,0.008373638396007141,116.0,0.0,0.9441145281018029,117.30199101616155,116,cosine_sim,run
117,[6. 0. 0. ... 0. 0. 0.],3.1672935658905783,0.0,0.030677625889794703,0.008430662894576422,117.0,0.0,0.9441263108283258,117.38350259667746,117,cosine_sim,run
118,[6. 0. 0. ... 0. 0. 0.],3.201545904021509,0.0,0.030677802562483276,0.008474608326477503,118.0,0.0,0.9442677035466008,117.3935890846513,118,cosine_sim,run
119,[6. 0. 0. ... 0. 0. 0.],3.235650092060501,0.0,0.0306778451895729,0.00853273783403637,119.0,0.0,0.9443737480853069,117.67869864087072,119,cosine_sim,run
120,[6. 0. 0. ... 0. 0. 0.],3.269733980487173,0.0,0.0306778451895729,0.0085642885195572,120.0,0.0,0.9442794862731236,117.65219896636452,120,cosine_sim,run
121,[6. 0. 0. ... 0. 0. 0.],3.3035917614410164,0.0,0.0306778451895729,0.008603160542426812,121.0,0.0,0.9443619653587841,117.83935567356947,121,cosine_sim,run
122,[6. 0. 0. ... 0. 0. 0.],3.337181074192913,0.0,0.030678091871219566,0.008666970411268028,122.0,0.0,0.9444915753505361,117.76226741059072,122,cosine_sim,run
123,[6. 0. 0. ... 0. 0. 0.],3.3706184930492236,0.0,0.030678091871219566,0.008721616036117232,123.0,0.0,0.9444680098974902,117.61517527255188,123,cosine_sim,run
124,[6. 0. 0. ... 0. 0. 0.],3.403837486721179,0.0,0.03067978683348024,0.008785747949412786,124.0,0.0,0.9443855308118299,117.80163641328816,124,cosine_sim,run
125,[6. 0. 0. ... 0. 0. 0.],3.4364576942582796,0.0,0.03067978683348024,0.008818153551743353,125.0,0.0,0.9442794862731235,117.6556519701848,125,cosine_sim,run
126,[6. 0. 0. ... 0. 0. 0.],3.4688617240590527,0.0,0.03067978683348024,0.008862974209563891,126.0,0.0,0.9444326617179214,117.73178069511147,126,cosine_sim,run
