,interaction_histogram,mse,user_mse,recall_at_k,interaction_spread,inter_cluster_interaction_similarity,intra_cluster_interaction_similarity,diversity_metric,inter_cluster_rec_similarity,intra_cluster_rec_similarity,serendipity_metric,novelty_metric,timesteps,state,model
0,,0.09584861752672892,"[0.03512269 0.08176823 0.16119423 0.2149699  0.0185819  0.11124554
 0.05493359 0.09718496 0.10213215 0.081353  ]",,,,,,,,,,0,train,content_fairness
1,[0. 0. 0. ... 0. 0. 0.],0.1000306610630237,"[0.0423986  0.08672108 0.159959   0.22921314 0.02273635 0.11557534
 0.0535857  0.10152408 0.10462656 0.08396676]",0.2,-9.5,0.0,0.7142857142857141,0.8022222222222222,0.0,0.7142857142857141,0.92,,1,train,content_fairness
2,[0. 0. 0. ... 0. 0. 0.],0.10657757384624844,"[0.05061605 0.09532046 0.17650564 0.23978326 0.02696482 0.11769939
 0.05858717 0.10933226 0.10584885 0.08511785]",0.3,0.0,0.0,0.7142857142857141,0.8788888888888888,0.005031959744322045,0.7142857142857141,0.89,,2,train,content_fairness
3,[1. 0. 0. ... 0. 0. 0.],0.10824776877277112,"[0.06019467 0.09548356 0.17117611 0.23691406 0.03125566 0.11969733
 0.06267308 0.10937475 0.10746572 0.08824274]",0.3,0.5,0.004651162790697674,0.7428571428571427,0.8222222222222222,0.0012239902080783353,0.7218045112781953,0.91,,3,train,content_fairness
4,[0. 0. 0. ... 0. 0. 0.],1.0876353757387471,"[0.79233234 1.31081235 1.1783315  0.95335671 0.81320303 0.94470421
 0.76780912 1.07717291 2.03837068 1.00026092]",0.7,-0.5,0.0033222591362126242,0.7346938775510202,0.8588888888888888,0.03308573531411747,0.7470145953118088,0.88,-0.0007728538542388483,4,run,content_fairness
5,[0. 0. 0. ... 0. 0. 0.],1.2311532456953165,"[0.6710631  1.52045323 1.7097133  1.01076949 1.4752886  1.11478907
 0.92455709 1.06314758 1.83601711 0.9857339 ]",0.2,0.0,0.0025839793281653744,0.7301587301587299,0.8711111111111112,0.029749762001903976,0.7218045112781953,0.84,-0.00540102983361849,5,run,content_fairness
6,[0. 0. 0. ... 0. 0. 0.],1.107654836938825,"[0.69472783 1.50951392 1.18644735 1.03355162 1.11748921 1.02057258
 0.83228029 0.9702478  1.62791388 1.08380388]",0.6,0.0,0.004228329809725159,0.7272727272727271,0.8511111111111112,0.015255877952976369,0.7218045112781953,0.89,-0.009891015737130134,6,run,content_fairness
