,interaction_histogram,mse,interaction_spread,interaction_similarity,rec_similarity,mean_num_topics,serendipity_metric,diversity_metric,novelty_metric,timesteps,model,state
34,[0. 2. 0. ... 0. 0. 0.],0.014654112668664307,0.0,0.021388847676310736,0.00422771797331336,34.0,0.07879109225874867,0.9004948745139626,29.524282952405006,34,myopic,train
35,[2. 0. 0. ... 1. 0. 0.],0.014654112668664307,0.0,0.021955375130956356,0.004201904127741941,35.0,0.07688229056203605,0.906020973253211,28.676794468687998,35,myopic,train
36,[3. 2. 1. ... 0. 0. 0.],0.014654112668664307,0.0,0.022505106748798864,0.004203289015605652,36.0,0.053022269353128315,0.9056792741840463,28.28646794693895,36,myopic,train
37,[2. 1. 2. ... 0. 0. 0.],0.014654112668664307,0.5,0.023040509335589283,0.004223270084861679,37.0,0.05174973488865323,0.9027100271002712,29.801963767566175,37,myopic,train
38,[0. 0. 0. ... 0. 0. 0.],0.014654112668664307,0.0,0.023613727464011018,0.0042336319860676805,38.0,0.0007423117709437964,0.9052550960292214,29.02444474058713,38,myopic,train
39,[3. 2. 1. ... 0. 0. 0.],0.014654112668664307,0.0,0.024235612977118515,0.0041961518141851095,39.0,0.0,0.9044538706256628,31.3035782979395,39,myopic,train
40,[1. 0. 1. ... 0. 0. 0.],0.014654112668664307,0.0,0.024802906737259683,0.004198547902293454,40.0,0.0,0.9038647342995172,29.36030710988638,40,myopic,train
41,[0. 2. 0. ... 0. 0. 0.],0.014654112668664307,-0.5,0.0253702676425102,0.004188655625072521,41.0,0.0,0.904017909744315,29.795282435877905,41,myopic,train
42,[2. 0. 1. ... 0. 0. 0.],0.014654112668664307,0.5,0.025921104559978824,0.00417219248046248,42.0,0.0,0.9016967126193003,29.035064429534845,42,myopic,train
43,[2. 0. 0. ... 0. 0. 0.],0.014654112668664307,0.5,0.026450795449297473,0.004219989486669444,43.0,0.0,0.9013078826440439,27.84874232032357,43,myopic,train
44,[0. 2. 0. ... 0. 0. 0.],0.014654112668664307,-0.5,0.027021026917947222,0.004157698352396104,44.0,0.0,0.9009661835748795,27.316786514801425,44,myopic,train
45,[3. 1. 3. ... 0. 0. 0.],0.014654112668664307,0.0,0.027528023693836952,0.004211794857602117,45.0,0.0,0.9024508071167668,28.887507218425352,45,myopic,train
46,[0. 0. 1. ... 0. 0. 0.],0.014654112668664307,-0.5,0.02803770854720533,0.004216551444521737,46.0,0.0,0.9040768233769294,28.18864305493989,46,myopic,train
47,[0. 1. 2. ... 0. 0. 0.],0.014654112668664307,0.0,0.028589793830658308,0.004188168206438926,47.0,0.0,0.9012136208318606,28.5218445421176,47,myopic,train
48,[7. 2. 1. ... 0. 0. 0.],0.014654112668664307,0.5,0.02914130326012702,0.004224043765232479,48.0,0.0,0.9047602215152588,29.036839552695177,48,myopic,train
49,[4. 1. 4. ... 1. 0. 0.],0.014654112668664307,0.0,0.02971958933064561,0.004205441394397194,49.0,0.0,0.9044774360787089,29.693827486729713,49,myopic,train
50,[2. 2. 0. ... 0. 0. 0.],0.014654112668664307,0.0,0.03026450924477996,0.004180280535058732,50.0,0.0,0.9022858489454461,30.222067191511023,50,myopic,train
51,[4. 0. 0. ... 0. 0. 0.],3.218681626801866,2.0,0.030389478694553287,0.005352840331494058,51.0,0.0,0.9383292093790503,94.51068638510559,51,myopic,run
