,interaction_histogram,mse,interaction_spread,interaction_similarity,rec_similarity,mean_num_topics,serendipity_metric,diversity_metric,novelty_metric,timesteps,state,model,lambda
0,,0.014654112668664307,,,,,,,,0,train,myopic_prob,2
1,[3. 1. 0. ... 0. 0. 0.],0.014654112668664307,-939.5,0.0021917370725185238,0.004228485464241182,1.0,0.5016967126193002,0.9023211971250149,291.70845737470034,1,run,myopic_prob,2
2,[1. 2. 0. ... 0. 0. 0.],0.014654112668664307,-0.5,0.0025973227596172385,0.004166321793808916,2.0,0.49957582184517496,0.9018852362436669,294.86467089493823,2,run,myopic_prob,2
3,[0. 3. 0. ... 0. 0. 0.],6.786330714169991,4.0,0.0034804649766268115,0.00868160825046328,3.0,0.5137857900318133,0.9248851184164016,555.5378375138977,3,run,myopic_prob,2
4,[0. 5. 1. ... 0. 0. 0.],5.579148716655974,-1.0,0.0045277049992252984,0.0077137896181712325,4.0,0.4645811240721103,0.9172381289030284,390.61394265205683,4,run,myopic_prob,2
